,nombre,precio,precio_original,url,url2
116,Pantalón Relaxed Jogger Orgánico - Negro,55.00,-,https://minimalismbrand.com/products/pantalon-relaxed-jogger-organico?variant=49870609514831,https://minimalismbrand.com/products/pantalon-relaxed-jogger-organico
119,Pantalón Jogger Largo Orgánico · Chándal unisex - Negro,55.00,-,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-largo?variant=39813638881479,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-largo
121,Pantalón Jogger Corto Orgánico · Chándal unisex - Negro,40.00,-,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-corto?variant=39813642748103,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-corto
146,Camiseta algodón orgánico - Negra,25.00,-,https://minimalismbrand.com/products/camiseta-algodon-organico?variant=34948534108317,https://minimalismbrand.com/products/camiseta-algodon-organico
158,Camiseta algodón orgánico - Pack 3 uds,72.00,75.00,https://minimalismbrand.com/products/camiseta-algodon-organicox3,https://minimalismbrand.com/products/camiseta-algodon-organicox3
159,Camiseta algodón orgánico - Pack 5 uds,115.00,125.00,https://minimalismbrand.com/products/camiseta-algodon-organicox5,https://minimalismbrand.com/products/camiseta-algodon-organicox5
160,Camiseta algodón orgánico - Pack 7 uds,154.00,175.00,https://minimalismbrand.com/products/camiseta-algodon-organicox7,https://minimalismbrand.com/products/camiseta-algodon-organicox7
177,Calzoncillos Bóxers Orgánicos - Pack 3 uds,32.00,36.00,https://minimalismbrand.com/products/calzoncillos-organicos-x3-1,https://minimalismbrand.com/products/calzoncillos-organicos-x3-1
178,Calzoncillos Bóxers Orgánicos - Pack 5 uds,50.00,60.00,https://minimalismbrand.com/products/calzoncillos-organicos-x5-1,https://minimalismbrand.com/products/calzoncillos-organicos-x5-1
179,Calzoncillos Bóxers Orgánicos - Pack 7 uds,68.00,84.00,https://minimalismbrand.com/products/calzoncillos-organicos-x7-1,https://minimalismbrand.com/products/calzoncillos-organicos-x7-1
180,Calzoncillos Slips Orgánicos X3,32.00,36.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x3,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x3
181,Calzoncillos Slips Orgánicos X5,50.00,60.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x5,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x5
182,Calzoncillos Slips Orgánicos X7,68.00,84.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x7,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x7
210,Pantalón orgánico Slim Hombre,70.00,-,https://minimalismbrand.com/products/pantalon-organico-semi-skinny-hombre,https://minimalismbrand.com/products/pantalon-organico-semi-skinny-hombre
211,Pantalón vaquero Slim Hombre,70.00,-,https://minimalismbrand.com/products/vaquero-slim-hombre,https://minimalismbrand.com/products/vaquero-slim-hombre
