,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range),average_bid,rank_avg_monthly_searches,rank_cambio_en_tres_meses,rank_average_bid,score
56,tupper para embutidos,https://www.amazon.es/tupper-embutido/s?k=tupper+embutido,Amazon.es,Principales Elementos de Aleación y su Efecto en las Propiedades del ...,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
57,tupper para embutidos,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOoqPJUuzGH5KQFs4psGSMCcXeWX6ZsTQYEH3rhCvrv6iR47GdvbP,PracticDomus,2. Propiedades del acero inoxidable. - UPCommons,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
58,tupper para embutidos,https://www.tupperware.es/shop/es/set-royal-fresh.html,Tupperware España,Acero Inoxidable | Ulma Forged Solutions,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
59,tuppers para el trabajo,https://www.amazon.es/tupper-trabajo/s?k=tupper+trabajo,Amazon.es,Caja almuerzo acero,EUR,260.0,1.29,1.29,Alta,100.0,0.05,0.61,0.33,36,41,7,84.66666666666667
60,tuppers para el trabajo,https://recetasdecocina.elmundo.es/2023/09/19-recetas-tupper-trabajo-oficina.html,El Mundo,Tupper acero inoxidable | dos platos - Eco eeco,EUR,260.0,1.29,1.29,Alta,100.0,0.05,0.61,0.33,36,41,7,84.66666666666667
61,tuppers para el trabajo,https://www.cocinatis.com/como-cocinar/consejos-trucos/recetas-para-llevar-al-trabajo-en-tupper-perfectas-para-dejar-preparadas-con-antelacion.html,Cocinatis,Cuitisan FLORA,EUR,260.0,1.29,1.29,Alta,100.0,0.05,0.61,0.33,36,41,7,84.66666666666667
62,tuppers para embutidos,https://www.amazon.es/tupper-embutido/s?k=tupper+embutido,Amazon.es,Fiambrera de Acero Inoxidable - Bambaw,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
63,tuppers para embutidos,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOooBf0eNScEdXQ60p_vvhVLtmk-GiasK2xo_TsiuncBAxrnbxfHl,PracticDomus,,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
64,tuppers para embutidos,https://www.miravia.es/kw/tupper-para-embutido.html,Miravia,Tupper Trabajo,EUR,260.0,1.29,0.0,Alta,100.0,0.1,0.3,0.2,36,41,34,120.66666666666667
65,tupper bebe,https://www.amazon.es/tupper-bebe/s?k=tupper+bebe,Amazon.es,"6 Tips para llevar almuerzo al trabajo, conócelos aquí. - Rimoplásticas",EUR,210.0,0.24,-0.19,Alta,100.0,0.08,0.18,0.13,32,6,50,113.33333333333333
66,tupper bebe,https://estilmenut.com/452-tupper-bebe,estilmenut,"Tuppers, bolsas y fiambreras para llevar la comida al trabajo",EUR,210.0,0.24,-0.19,Alta,100.0,0.08,0.18,0.13,32,6,50,113.33333333333333
67,tupper bebe,https://www.elcorteingles.es/bebes/menaje-para-bebes/recipientes-comida-bebe/,El Corte Inglés,Tipos de envases de comida para llevar que existen,EUR,210.0,0.24,-0.19,Alta,100.0,0.08,0.18,0.13,32,6,50,113.33333333333333
68,tupper infantil compartimentos,https://www.amazon.es/tupper-infantil/s?k=tupper+infantil,Amazon.es,Cómo mantener la comida caliente por más tiempo - Tu Hogar,EUR,210.0,3.21,0.0,Alta,100.0,0.08,0.37,0.225,32,55,20,106.0
69,tupper infantil compartimentos,https://www.oukidsshop.com/30-fiambreras-infantiles-vuelta-al-cole?srsltid=AfmBOooX-Dirskt5nLq6SnJGHu9DD8ETCsaK47L0mHJSIQRDJgOao-Ql,Oukidsshop,Ideas para llevar la comida al trabajo en tupper,EUR,210.0,3.21,0.0,Alta,100.0,0.08,0.37,0.225,32,55,20,106.0
70,tupper infantil compartimentos,https://kidshome.es/149-tuppers-y-fiambreras-infantiles?srsltid=AfmBOopyg5bSnTuyctUHCnxM0NXTlVVEhfeMzlUYXK7EP2ltvxvfzQeh,Kidshome,▷ Los Mejores Tuppers para Llevar al Trabajo,EUR,210.0,3.21,0.0,Alta,100.0,0.08,0.37,0.225,32,55,20,106.0
71,tupper calienta comida,https://www.amazon.es/tupper-electrico/s?k=tupper+electrico,Amazon.es,Porta alimentos | Menaje de cocina | Hogar,EUR,210.0,2.71,0.0,Alta,100.0,0.08,0.77,0.425,32,54,2,81.33333333333333
72,tupper calienta comida,https://www.mediamarkt.es/es/category/tuppers-y-fiambreras-648.html?srsltid=AfmBOorktscZf8PTHI8oEJUb7ivQWQLH5NApDV3h8f-xa42EyJEFQ1c9,MediaMarkt,Tuppers y Fiambreras Térmicas | Online,EUR,210.0,2.71,0.0,Alta,100.0,0.08,0.77,0.425,32,54,2,81.33333333333333
73,tupper calienta comida,"https://www.laverdad.es/sociedad/cuando-puedes-calentar-comidas-recipientes-plastico-20220803103905-nt.html#:~:text=Botellines%20de%20agua%2C%20bandejas%20o,que%20pueden%20migrar%20al%20alimento.",La Verdad,Fiambrera Acero Inoxidable,EUR,210.0,2.71,0.0,Alta,100.0,0.08,0.77,0.425,32,54,2,81.33333333333333
74,tupper cristal amazon,,,Termos y almacenaje,EUR,210.0,0.86,0.24,Alta,100.0,0.07,0.13,0.1,32,32,56,138.66666666666666
75,tupper acero inoxidable microondas,https://practicdomus.es/collections/cuitisan-flora?srsltid=AfmBOorZ238wNPzZnld3MZ4vJsGnm3W9MX64cILfS0WlH6jvNbewYIgB,PracticDomus,Fiambreras y Cubiertos,EUR,210.0,0.88,0.88,Alta,100.0,0.06,0.3,0.18,32,33,43,122.0
76,tupper acero inoxidable microondas,"https://krissia.es/blog/se-puede-meter-tupper-microondas/#:~:text=Tanto%20los%20tuppers%20de%20cristal,el%20que%20se%20han%20fabricado.",Krissia,Fiambreras y tuppers libres de tóxicos - Conasi,EUR,210.0,0.88,0.88,Alta,100.0,0.06,0.3,0.18,32,33,43,122.0
77,tupper acero inoxidable microondas,"https://elpais.com/gastronomia/el-comidista/2022/07/13/articulo/1657705411_580866.html#:~:text=%E2%80%9CSi%20son%20de%20polipropileno%20se,recalentar%20porque%20podr%C3%ADa%20haber%20migraciones%E2%80%9D.",EL PAÍS,Caja almuerzo acero,EUR,210.0,0.88,0.88,Alta,100.0,0.06,0.3,0.18,32,33,43,122.0
78,tupper desechable,https://www.amazon.es/tupper-plastico-desechable/s?k=tupper+plastico+desechable,Amazon.es,Almacenamiento y transporte de alimentos Acero ...,EUR,210.0,0.5,0.0,Alta,100.0,0.16,0.51,0.335,32,13,5,58.0
79,tupper desechable,https://www.envasesdelmediterraneo.com/es/159-envases-desechables,Envases del Mediterráneo,Cuitisan FLORA,EUR,210.0,0.5,0.0,Alta,100.0,0.16,0.51,0.335,32,13,5,58.0
80,tupper desechable,https://www.garciadepou.com/es/un-solo-uso/envases-de-plastico.html,Garcia de Pou,Fiambrera de Acero Inoxidable - Bambaw,EUR,210.0,0.5,0.0,Alta,100.0,0.16,0.51,0.335,32,13,5,58.0
