nombre,precio,precio_original,url,score,reviews,tipo_de_producto,material1,emisiones_co2,litros_de_agua,kwh_de_energia
camiseta   negra,25.0,-,https://minimalismbrand.com/products/camiseta-algodon-organico,4.7,405.0,camisetas algodon organico,algodon organico,2.4,614.9,3.8
camiseta   pack 3 uds,72.0,75.00,https://minimalismbrand.com/products/camiseta-algodon-organicox3,4.8,347.0,camisetas algodon organico,algodon organico,7.2,845,11.4
camiseta   pack 5 uds,115.0,125.00,https://minimalismbrand.com/products/camiseta-algodon-organicox5,4.8,347.0,camisetas algodon organico,algodon organico,12,075,19
camiseta   pack 7 uds,154.0,175.00,https://minimalismbrand.com/products/camiseta-algodon-organicox7,4.8,347.0,camisetas algodon organico,algodon organico,16.8,305,26.6
calzoncillos boxers organicos  pack 3 uds,32.0,36.00,https://minimalismbrand.com/products/calzoncillos-organicos-x3-1,4.9,82.0,calzoncillos,algodon organico,2.6,082,7.5
calzoncillos boxers organicos  pack 5 uds,50.0,60.00,https://minimalismbrand.com/products/calzoncillos-organicos-x5-1,4.9,82.0,calzoncillos,algodon organico,4.5,1800,12.5
calzoncillos boxers organicos  pack 7 uds,68.0,84.00,https://minimalismbrand.com/products/calzoncillos-organicos-x7-1,4.9,82.0,calzoncillos,algodon organico,6.1,525,18
calzoncillos slips organicos x3,32.0,36.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x3,,,calzoncillos,algodon organico,2.6,082,7.5
calzoncillos slips organicos x5,50.0,60.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x5,,,calzoncillos,algodon organico,4.5,1800,12.5
calzoncillos slips organicos x7,68.0,84.00,https://minimalismbrand.com/products/calzoncillos-slips-organicos-x7,,,calzoncillos,algodon organico,6.1,525,18
pantalon organico slim hombre,70.0,-,https://minimalismbrand.com/products/pantalon-organico-semi-skinny-hombre,4.8,8.0,pantalones,algodon organico,10.7,985,35.4
pantalon vaquero slim hombre,70.0,-,https://minimalismbrand.com/products/vaquero-slim-hombre,5.0,7.0,pantalones,algodon organico,10.7,985,35.4
